iso_id,iso_number,iso_name,iso_notes,unicode_name,unicode_version,unicode_historic,unicode_notes
"Tnsa","275","Tangsa",,"Tangsa","14.0",false,
"Toto","294","Toto",,"Toto","14.0",false,
"Ugar","040","Ugaritic",,"Ugaritic","4.0",true,"Ancient/historic"
"Vaii","470","Vai",,"Vai","5.1",false,
"Visp","280","Visible Speech","Not in Unicode",,,,
"Vith","228","Vithkuqi",,"Vithkuqi","14.0",true,"Ancient/historic"
"Wara","262","Warang Citi (Varang Kshiti)",,"Warang Citi","7.0",false,
"Wcho","283","Wancho",,"Wancho","12.0",false,
"Wole","480","Woleai","Not in Unicode, proposal is explored",,,,
"Xpeo","030","Old Persian",,"Old Persian","4.1",true,"Ancient/historic"
"Xsux","020","Cuneiform, Sumero-Akkadian",,"Cuneiform","5.0",true,"Ancient/historic"
"Yezi","192","Yezidi",,"Yezidi","13.0",true,"Ancient/historic"
"Yiii","460","Yi",,"Yi","3.0",false,
"Zanb","339","Zanabazar Square (Zanabazarin Dörböljin Useg, Xewtee Dörböljin Bicig, Horizontal Square Script)",,"Zanabazar Square","10.0",true,"Ancient/historic"
"Zinh","994","Code for inherited script",,"Inherited","",false,
"Zmth","995","Mathematical notation","Not a 'script' in Unicode",,,,
"Zsym","996","Symbols","Not a 'script' in Unicode",,,,
"Zsye","993","Symbols (emoji variant)","Not a 'script' in Unicode",,,,
"Zxxx","997","Code for unwritten documents","Not a 'script' in Unicode",,,,
"Zyyy","998","Code for undetermined script",,"Common","",false,
"Zzzz","999","Code for uncoded script",,"Unknown","",false,"In Unicode: All other code points"
